Step,Action,Reasoning,Observation,Reward,Done
0,turn right,,"a wall 3 steps forward
a wall 3 steps left",0,False
1,go forward,,"a wall 2 steps forward
a wall 3 steps left",0,False
2,go forward,,"a wall 1 step forward
a wall 3 steps left",0,False
3,go forward,,"a wall 1 step forward
a wall 3 steps left",0,False
4,pick up,,"a wall 1 step forward
a wall 3 steps left",0,False
5,go forward,,"a wall 1 step forward
a wall 3 steps left",0,False
6,turn right,,"a wall 4 steps forward
a wall 1 step left",0,False
7,turn left,,"a wall 1 step forward
a wall 3 steps left",0,False
8,go forward,,"a wall 1 step forward
a wall 3 steps left",0,False
9,turn left,,"a wall 3 steps forward
a wall 1 step right
a green box 3 steps left and 1 step forward",0,False
10,go forward,,"a wall 2 steps forward
a wall 1 step right
a green box 3 steps left",0,False
11,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
12,toggle,,"a wall 1 step forward
a wall 1 step right",0,False
13,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
14,drop,,"a wall 1 step forward
a wall 1 step right",0,False
15,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
16,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
17,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
18,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
19,turn right,,"a wall 1 step forward
a wall 1 step left",0,False
20,toggle,,"a wall 1 step forward
a wall 1 step left",0,False
21,go forward,,"a wall 1 step forward
a wall 1 step left",0,False
22,go forward,,"a wall 1 step forward
a wall 1 step left",0,False
23,go forward,,"a wall 1 step forward
a wall 1 step left",0,False
24,turn right,,"a wall 6 steps forward
a wall 1 step left
a green box 3 steps right and 1 step forward",0,False
25,turn right,,"a wall 6 steps forward
a wall 1 step right
a green box 1 step left and 3 steps forward",0,False
26,go forward,,"a wall 5 steps forward
a wall 1 step right
a green box 1 step left and 2 steps forward",0,False
27,go forward,,"a wall 4 steps forward
a wall 1 step right
a green box 1 step left and 1 step forward",0,False
28,go forward,,"a wall 3 steps forward
a wall 1 step right
a green box 1 step left",0,False
29,go forward,,"a wall 2 steps forward
a wall 1 step right",0,False
30,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
31,turn right,,"a wall 1 step forward
a wall 1 step left",0,False
32,go forward,,"a wall 1 step forward
a wall 1 step left",0,False
33,turn right,,"a wall 6 steps forward
a wall 1 step left
a green box 1 step right and 2 steps forward",0,False
34,go forward,,"a wall 5 steps forward
a wall 1 step left
a green box 1 step right and 1 step forward",0,False
35,go forward,,"a wall 4 steps forward
a wall 1 step left
a green box 1 step right",0,False
36,go forward,,"a wall 3 steps forward
a wall 1 step left",0,False
37,go forward,,"a wall 2 steps forward
a wall 1 step left",0,False
38,drop,,"a wall 2 steps forward
a wall 1 step left",0,False
39,turn left,,"a wall 1 step forward
a wall 2 steps right",0,False
40,turn left,,"a wall 5 steps forward
a wall 1 step right
a green box 1 step left and 2 steps forward",0,False
41,go forward,,"a wall 4 steps forward
a wall 1 step right
a green box 1 step left and 1 step forward",0,False
42,go forward,,"a wall 3 steps forward
a wall 1 step right
a green box 1 step left",0,False
43,toggle,,"a wall 3 steps forward
a wall 1 step right
a green box 1 step left",0,False
44,pick up,,"a wall 3 steps forward
a wall 1 step right
a green box 1 step left",0,False
45,go forward,,"a wall 2 steps forward
a wall 1 step right",0,False
46,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
47,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
48,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
49,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
50,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
51,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
52,turn left,,"a wall 6 steps forward
a wall 1 step right
a green box 2 steps left and 1 step forward
a grey ball 1 step left and 4 steps forward",0,False
53,go forward,,"a wall 5 steps forward
a wall 1 step right
a green box 2 steps left
a grey ball 1 step left and 3 steps forward",0,False
54,go forward,,"a wall 4 steps forward
a wall 1 step right
a grey ball 1 step left and 2 steps forward",0,False
55,go forward,,"a wall 3 steps forward
a wall 1 step right
a grey ball 1 step left and 1 step forward",0,False
56,go forward,,"a wall 2 steps forward
a wall 1 step right
a grey ball 1 step left",0,False
57,toggle,,"a wall 2 steps forward
a wall 1 step right
a grey ball 1 step left",0,False
58,drop,,"a wall 2 steps forward
a wall 1 step right
a grey ball 1 step left",0,False
59,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
60,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
61,pick up,,"a wall 1 step forward
a wall 1 step right",0,False
62,toggle,,"a wall 1 step forward
a wall 1 step right",0,False
63,go forward,,"a wall 1 step forward
a wall 1 step right",0,False
64,turn right,,"a wall 1 step forward
a wall 1 step left",0,False
65,turn right,,"a wall 6 steps forward
a wall 1 step left
a grey ball 1 step right and 1 step forward
a green box 2 steps right and 4 steps forward",0,False
66,go forward,,"a wall 5 steps forward
a wall 1 step left
a grey ball 1 step right
a green box 2 steps right and 3 steps forward",0,False
67,go forward,,"a wall 4 steps forward
a wall 1 step left
a green box 2 steps right and 2 steps forward",0,False
68,toggle,,"a wall 4 steps forward
a wall 1 step left
a green box 2 steps right and 2 steps forward",0,False
69,turn right,,"a wall 6 steps forward
a wall 3 steps right
a green box 2 steps left and 2 steps forward
a grey ball 1 step right and 1 step forward",0,False
70,drop,,"a wall 6 steps forward
a wall 3 steps right
a green box 2 steps left and 2 steps forward
a grey ball 1 step right and 1 step forward",0,False
71,go forward,,"a wall 5 steps forward
a green box 2 steps left and 1 step forward
a grey ball 1 step right",0,False
72,go forward,,"a wall 4 steps forward
a wall 3 steps right
a green box 2 steps left",0,False
73,go forward,,"a wall 3 steps forward
a wall 3 steps right",0,False
74,turn right,,"a wall 3 steps forward
a wall 3 steps left
a grey ball 2 steps right and 1 step forward",0,False
75,go forward,,"a wall 2 steps forward
a wall 3 steps left
a grey ball 2 steps right",0,False
76,turn left,,"a wall 3 steps forward
a wall 2 steps right",0,False
77,go forward,,"a wall 2 steps forward
a wall 2 steps right",0,False
78,go forward,,"a wall 1 step forward
a wall 2 steps right",0,False
79,go forward,,"a wall 1 step forward
a wall 2 steps right",0,False
80,go forward,,"a wall 1 step forward
a wall 2 steps right",0,False
81,turn right,,"a wall 2 steps forward
a wall 1 step left",0,False
82,go forward,,"a wall 1 step forward
a wall 1 step left",0,False
83,go forward,,"a wall 1 step forward
a wall 1 step left",0,False
84,go forward,,"a wall 1 step forward
a wall 1 step left",0,False
85,go forward,,"a wall 1 step forward
a wall 1 step left",0,False
86,pick up,,"a wall 1 step forward
a wall 1 step left",0,False
87,toggle,,"a wall 1 step forward
a wall 1 step left",0,False
88,toggle,,"a wall 1 step forward
a wall 1 step left",0,False
89,turn right,,"a wall 6 steps forward
a wall 1 step left
a grey ball 1 step right and 4 steps forward",0,False
90,go forward,,"a wall 5 steps forward
a wall 1 step left
a grey ball 1 step right and 3 steps forward",0,False
91,go forward,,"a wall 4 steps forward
a wall 1 step left
a grey ball 1 step right and 2 steps forward",0,False
92,go forward,,"a wall 3 steps forward
a wall 1 step left
a grey ball 1 step right and 1 step forward",0,False
93,go forward,,"a wall 2 steps forward
a wall 1 step left
a grey ball 1 step right",0,False
94,toggle,,"a wall 2 steps forward
a wall 1 step left
a grey ball 1 step right",0,False
95,turn right,,"a wall 2 steps left
a grey ball 1 step forward
a green box 1 step right and 4 steps forward",0,False
96,go forward,,"a wall 2 steps left
a grey ball 1 step forward
a green box 1 step right and 4 steps forward",0,False
97,go forward,,"a wall 2 steps left
a grey ball 1 step forward
a green box 1 step right and 4 steps forward",0,False
98,drop,,"a wall 2 steps left
a grey ball 1 step forward
a green box 1 step right and 4 steps forward",0,False
99,go forward,,"a wall 2 steps left
a grey ball 1 step forward
a green box 1 step right and 4 steps forward",0,False
100,go forward,,"a wall 2 steps left
a grey ball 1 step forward
a green box 1 step right and 4 steps forward",0,False
101,go forward,,"a wall 2 steps left
a grey ball 1 step forward
a green box 1 step right and 4 steps forward",0,False
102,go forward,,"a wall 2 steps left
a grey ball 1 step forward
a green box 1 step right and 4 steps forward",0,False
103,go forward,,"a wall 2 steps left
a grey ball 1 step forward
a green box 1 step right and 4 steps forward",0,False
104,pick up,,"You carry a grey ball
a wall 6 steps forward
a wall 2 steps left
a green box 1 step right and 4 steps forward",0,False
105,go forward,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps left
a green box 1 step right and 3 steps forward",0,False
106,go forward,,"You carry a grey ball
a wall 4 steps forward
a wall 2 steps left
a green box 1 step right and 2 steps forward",0,False
107,go forward,,"You carry a grey ball
a wall 3 steps forward
a wall 2 steps left
a green box 1 step right and 1 step forward",0,False
108,go forward,,"You carry a grey ball
a wall 2 steps forward
a wall 2 steps left
a green box 1 step right",0,False
109,toggle,,"You carry a grey ball
a wall 2 steps forward
a wall 2 steps left
a green box 1 step right",0,False
110,go forward,,"You carry a grey ball
a wall 1 step forward
a wall 2 steps left",0,False
111,toggle,,"You carry a grey ball
a wall 1 step forward
a wall 2 steps left",0,False
112,go forward,,"You carry a grey ball
a wall 1 step forward
a wall 2 steps left",0,False
113,go forward,,"You carry a grey ball
a wall 1 step forward
a wall 2 steps left",0,False
114,go forward,,"You carry a grey ball
a wall 1 step forward
a wall 2 steps left",0,False
115,drop,,"You carry a grey ball
a wall 1 step forward
a wall 2 steps left",0,False
116,go forward,,"You carry a grey ball
a wall 1 step forward
a wall 2 steps left",0,False
117,go forward,,"You carry a grey ball
a wall 1 step forward
a wall 2 steps left",0,False
118,go forward,,"You carry a grey ball
a wall 1 step forward
a wall 2 steps left",0,False
119,go forward,,"You carry a grey ball
a wall 1 step forward
a wall 2 steps left",0,False
120,drop,,"You carry a grey ball
a wall 1 step forward
a wall 2 steps left",0,False
121,drop,,"You carry a grey ball
a wall 1 step forward
a wall 2 steps left",0,False
122,go forward,,"You carry a grey ball
a wall 1 step forward
a wall 2 steps left",0,False
123,turn left,,"You carry a grey ball
a wall 2 steps forward
a wall 1 step right",0,False
124,go forward,,"You carry a grey ball
a wall 1 step forward
a wall 1 step right",0,False
125,go forward,,"You carry a grey ball
a wall 1 step forward
a wall 1 step right",0,False
126,drop,,"You carry a grey ball
a wall 1 step forward
a wall 1 step right",0,False
127,go forward,,"You carry a grey ball
a wall 1 step forward
a wall 1 step right",0,True
